Gene_acc,Gene_id,PG.ProteinAccessions,H4ALL.1,H4ALL.2,H4ALL.3,KO8.1,KO8.2,KO8.3,Desc
0,GFP.BLA,GFP.BLA,17.632471540142767,17.600896091788094,17.590652033356427,17.133394358893007,17.489514684153086,17.226210783888053,GFP.BLA
1,Tb05.5K5.100,Tb05.5K5.100:mRNA-p1;Tb927.5.4450:mRNA-p1,16.20824835181549,16.03769155483361,16.097815785382405,15.699662358837674,15.789159486579514,15.854795160624258,"hypothetical protein, conserved"
2,Tb05.5K5.110,Tb05.5K5.110:mRNA-p1;Tb927.5.4460:mRNA-p1,19.75695958913398,19.667512337552196,19.51734163691035,19.678773337792283,19.248467618888714,19.565838763360876,"major vault protein, putative"
3,Tb05.5K5.120,Tb05.5K5.120:mRNA-p1;Tb927.5.4470:mRNA-p1,16.63543582929708,17.92058274364784,16.687523591364556,16.69430378837411,17.09602856330075,16.50451715669204,"hypothetical protein, conserved"
4,Tb05.5K5.130,Tb05.5K5.130:mRNA-p1;Tb927.5.4480:mRNA-p1,19.659437085931014,19.594366409564962,19.694836398312905,19.67608781792728,19.923124608851182,19.518325627891258,"paraflagellar rod component par4, putative"
5,Tb05.5K5.150,Tb05.5K5.150:mRNA-p1;Tb927.5.4500:mRNA-p1,20.92734765735896,20.937586286348946,20.906585489056646,21.10566078234599,21.405049249078367,20.899481577766416,"ras-like small GTPase, putative"
6,Tb05.5K5.160,Tb05.5K5.160:mRNA-p1;Tb927.5.4520:mRNA-p1,15.7058949469913,15.910247274491914,16.122737488682397,16.3546285947086,15.841587189095156,15.620396596234203,Kinetochore interacting protein 1
8,Tb05.5K5.20,Tb05.5K5.20:mRNA-p1;Tb927.5.4360:mRNA-p1,15.66965607175973,15.728894961964942,15.509556480635196,15.840220677723508,15.281083317782194,15.809255110317354,"hypothetical protein, conserved"
9,Tb05.5K5.200,Tb05.5K5.200:mRNA-p1;Tb11.v5.0409.1-p1;Tb927.5.4560:mRNA-p1,20.386920516634397,20.282722517489255,20.318512469327633,20.10795868744002,20.325221172281772,20.161655658163212,"guanine deaminase, putative"
10,Tb05.5K5.210,Tb05.5K5.210:mRNA-p1,18.47153990081711,18.43039371943837,18.352699479238886,18.289076377534286,18.525819114246996,18.46408651935799,hypothetical protein
11,Tb05.5K5.220,Tb05.5K5.220:mRNA-p1;Tb927.5.4580:mRNA-p1,17.34150307842931,17.611097311463837,16.822071198185263,17.264487844097722,17.276076116175993,17.469319367830597,Flagellum adhesion protein 3
12,Tb05.5K5.240,Tb05.5K5.240:mRNA-p1;Tb11.v5.0367.1-p1;Tb927.5.4600:mRNA-p1,17.36448469509983,17.13976725863084,17.185914684531067,17.32856249176285,17.019551874998772,17.043384801493378,"expression site-associated gene 3 (ESAG3) protein, putative"
13,Tb05.5K5.30,Tb05.5K5.30:mRNA-p1;Tb927.5.4380:mRNA-p1,19.816350893439786,19.54614285262236,19.883116174750132,19.8060998857289,19.796339400896187,19.810818618988655,Kinetoplastid-specific Protein Phosphatase 1
14,Tb05.5K5.50,Tb05.5K5.50:mRNA-p1;Tb927.5.4400:mRNA-p1,17.545139825091816,17.776763427210362,17.760058900516473,17.602455008181533,18.077766604931526,17.501479940537333,"hypothetical protein, conserved"
15,Tb05.5K5.60,Tb05.5K5.60:mRNA-p1;Tb927.5.4410:mRNA-p1,17.278283264111433,17.218774286983795,17.172674560688506,16.994383824187135,16.78237379201607,16.701827188869284,"hypothetical protein, conserved"
16,Tb05.5K5.70,Tb05.5K5.70:mRNA-p1;Tb927.5.4420:mRNA-p1,20.94180917611748,20.936965951948835,20.860603563405203,20.54845235881789,20.854384189056226,20.65046475673091,"nucleolar RNA helicase II, putative"
17,Tb05.5K5.80,Tb05.5K5.80:mRNA-p1;Tb927.5.4430:mRNA-p1,16.939516713554852,16.901852117682648,16.904875570323025,19.099838973201223,17.267493524363836,16.89964706071411,"calcium/calmodulin-dependent protein kinase, putative"
18,Tb05.5K5.90,Tb05.5K5.90:mRNA-p1;Tb927.5.4440:mRNA-p1,16.978018069803202,17.055256614596647,17.152452431327976,17.01665970827439,19.449253954948134,17.079164755061285,"dynein light chain, putative"
20,Tb06.3A7.960,Tb06.3A7.960:mRNA-p1,18.53475264751695,18.488866773682396,18.511621288851657,18.532293375665972,18.85558548335832,18.484270124230207,hypothetical protein
21,Tb07.11L3.100,Tb07.11L3.100:mRNA-p1;Tb927.7.2150:mRNA-p1,15.36332910664771,14.843571567164009,15.357385280875647,15.116206874325846,14.366975275283504,15.066737793998989,SUMO-interacting motif-containing protein
